text,label
"Nice cut, but I would only recommend it to experienced hunters. It's a shame that there is no information about the nutritional supplements. You only find out about it after you buy it. Anyone who buys it should keep this in mind. Hence one point deducted.",3
"Great cut and as always, easy to understand instructions!",0
"Great pants, the fit depends a lot on the fabric. Unfortunately the pants didn't fit my daughter when they were made of stretch jeans, but they were great when made of jeggings. The length is a bit large.",3
"Overall, a great cut! But there are deductions here! Why can't you write whether a SM includes the seam allowance or not.",3
"A great bag, also great for beginners. Don't be afraid of the zipper 🤩",0
"See a pattern, buy it and sew it. Sewing this pattern was like balm for my soul. All the cut pieces fit together in the end. It's a kind of construction kit and so I have a great pattern for a long time....",0
"Great pattern. It really looks like a skirt and you can move around freely. Even cycling is easy with it. And the sizes fit perfectly too, I didn't have to change anything in the cut.",0
"QUICKLY SEWN AND SUPER COMFORTABLE

I have sewn the pants several times now - mostly for my grandchildren, but also for friends' children. The instructions are great and the pants are quick to sew. My last project is made of sweatst",0
"Nice casual pants and easy to sew.
Unfortunately, the cuffs on the legs are much too wide, so the pants slide over the feet. It's better to measure this directly on the child.
I'm giving a small suit because there is no layered printing",2
"A really beautiful wreath, but I can't describe it in detail, so ""Easy"" is not really suitable for inexperienced people. I'm not inexperienced, but I'm not a professional either and I find the letters very complicated, so it would be a",3
Very cool pattern.,0
"Very confusing and very short instructions. If you are not sewing the onesie but one of the costumes, you have to be very careful and look for where to start and where to continue. This is the first time I have sewn a costume and I have to say I am very disappointed.",3
"The instructions are great, everything is wonderfully described. I also think it's nice that the compartment options are described. I made an outside pocket with a zipper. As a beginner, I struggled a lot with the zipper. I always tried,",0
"a small, fine purse ... you should have some experience in sewing ... and ... take your time, not only when sewing, but also when reading the instructions ;) ... because they explain - thanks to the rich illustrations - every step",0
"I want to make this model but I can't find the assembly diagrams. No downloading required?
Thank you for your return",3
Unfortunately there is no pattern even though it is there... I wrote to the lady... let's see if I get anything back,3
"Nice pattern, I had trouble getting the pictures and text to match up when reading the description. But since there are only three pieces that need to be put together, it works out. ☺️",3
The boss is not alone in being simple for an advanced seamstress. Please note that the sizes do not correspond to European sizes and the measurement table will be returned. For the measurement of the fabric which is not very explicit for the,2
Great file. I like this kind of humor. Easy to weed.,0
The owner is very well tailored and very easy to work with. I love wearing my t-shirts made with this pattern.,0
"Very good, easy-to-understand instructions. Quick and easy to knit.",0
great,0
"I crocheted the witch from thicker yarn that fits a 2.5mm crochet hook. It is of course much larger than stated. I cannot confirm the concern that the proportions and the rows will rotate more.
The witch is made only from solid",2
"A beautiful blouse that was sewn quickly, the neckline is a bit low. I will correct that with the next blouse.",1
"A great pattern and very easy to sew thanks to the detailed instructions. 
One of my favorite sweaters at the moment. ",0
A really great pattern. I just think that the pattern is a bit too tight with sweat. So I sew it in jersey and it fits really well. ,2
"Unfortunately the pants are absolutely not for me. I wanted to sew them for myself because I am currently pregnant. According to the measurements, my bottom is a 56. I normally wear a 46-48, but for my legs I have a 44 and a 42. There are so many sizes different.",2
Very nice cut. Already sewn twice. Suitable for advanced beginners. ,0
"Very nice blouse, easy to make with the explanations in the pdf and the supporting videos.",0
"I sewed the trousers out of light cotton. As recommended, I chose a size larger.
And I have to say, I am thrilled with this cut. The darts at the back even give it a nice bottom.
The instructions are very detailed.",0
"Very easy pattern to make, well explained and easy to assemble, no fuss, no problems. I already asked for other things!",0
"I unpicked and installed the driver today, which was a little bit annoying, and then I got the explanations very, very clearly. I'm going to sew this pattern based on my sewing knowledge....The pattern is attractive, I like it beautiful",0
"Where can I find the pattern, I only downloaded the sewing instructions!",3
Such a great file ,0
"Pattern simple and well explained. To begin with, it is not possible. I made it in a sweat jersey fabric. It's not difficult at all. ",0
"The pattern is just great: everything fits perfectly when printed out, all the pieces fit together perfectly when cutting, and thanks to the excellent instructions, sewing is great fun and is sure to be easy even for less experienced seamstresses.",0
"I made this pattern using a dark purple viscose jersey. It looks very classy and is also a little festive, I really like it. I wear a large size and have thick upper arms, which are not emphasized by the gathering. 
The implementation",0
I got on well with the pattern. I sewed it for myself in size 38 and for my mom in size 44. No adjustments to the pattern were necessary and the purchased size matched our sizes. I will definitely sew the blouse again,0
A mega great pattern.,0
"A really cool cut. Thanks to the pictures in the eBook, even advanced beginners can sew it well. And then there's the video, so you can give it a go!",0
I have asked twice by email for the photo tutorial that is sold with the dress (but cannot be found on the website) and also tried using the comments function on the website - no response - I don't find that particularly customer-friendly...,3
"This jacket is a great addition for late summer/autumn or spring, so that you can wear the summer dress for longer. A lovely e-book, the great illustrated instructions make sewing easier.",0
"Overall, a very nice cape. Be careful with point 12, don't close the turning opening until the very end, as the jacket hood can only be attached to the outer and lining fabric inside out and then has to be turned inside out. Otherwise everything turned out well.",3
"Cousu en peu de temps ce pull est pratique! Well cut, it is very easy and quick to sew ",0
"Extremely easy pattern, nice that gives a very different result following the chosen fabric! The size is very good and could be sewn quickly 
I have number 7 and it is not finished! 
",0
"Great file. I ironed it onto the curtains for my sewing room. 
Very pretty ",0
I am delighted with the pattern. It is very good for sewing panel fabrics and the result is great. Thank you very much 🧵🪡👍,0
"Great cut and very well explained. 
It can be sewn in a simple or elaborate way. And an absolute all-rounder ",0
"I am very happy with the end result, but as already said in the description, the instructions are definitely not for beginners. You should have some experience sewing bags, because some things are assumed and not explained in detail.",3
The shirt is awesome. Really cool even for older kids. Junior loves it.,0
